prompt_id,vignette_id,setting,condition,model,facility,block,primary,secondary,system_prompt,user_prompt
P0151,M10,C,2,Gemini-Flash,"Primary healthcare centre Oyo State, NIgeria",1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Primary healthcare centre Oyo State, NIgeria which has IV set, normal saline, diazepam,","A 57-year-old male, discharged one day ago following inpatient treatment for urosepsis, is brought in by family on account of four episodes of seizures occurring within 30 minutes prior to arrival. Between episodes, he has not returned to his baseline level of consciousness. Each episode begins with jerking of the right hand, progressively spreading to the right arm, right leg, and then generalising each lasting about 2–3 minutes. He has no prior history of epilepsy, or structural brain disease. He completed a course of intravenous antibiotics for urosepsis one day ago. He is not on any anti-epileptic medications. On examination: A middle-aged man drowsy, not responding to commands. Febrile Temperature 37.7°CNot pale, not jaundiced, dehydrated, no pedal edema. 
HR 102 bpm, regular  BP 140/90 mmHg RR 20/min · SpO₂ 94% on room air 
GCS 10/15 (E2V3M5). Pupils equal and reactive bilaterally. HS 1+2, no murmurs."
P0152,M10,C,2,LLaMA-3-70B,"Primary healthcare centre Oyo State, NIgeria",1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Primary healthcare centre Oyo State, NIgeria which has IV set, normal saline, diazepam,","A 57-year-old male, discharged one day ago following inpatient treatment for urosepsis, is brought in by family on account of four episodes of seizures occurring within 30 minutes prior to arrival. Between episodes, he has not returned to his baseline level of consciousness. Each episode begins with jerking of the right hand, progressively spreading to the right arm, right leg, and then generalising each lasting about 2–3 minutes. He has no prior history of epilepsy, or structural brain disease. He completed a course of intravenous antibiotics for urosepsis one day ago. He is not on any anti-epileptic medications. On examination: A middle-aged man drowsy, not responding to commands. Febrile Temperature 37.7°CNot pale, not jaundiced, dehydrated, no pedal edema. 
HR 102 bpm, regular  BP 140/90 mmHg RR 20/min · SpO₂ 94% on room air 
GCS 10/15 (E2V3M5). Pupils equal and reactive bilaterally. HS 1+2, no murmurs."
P0153,M11,A,1,GPT-4o-mini,"Teaching hospital, Ebonyi State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital, Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0154,M11,A,1,Claude-Sonnet,"Teaching hospital, Ebonyi State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital, Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0155,M11,A,1,Gemini-Flash,"Teaching hospital, Ebonyi State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital, Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0156,M11,A,1,LLaMA-3-70B,"Teaching hospital, Ebonyi State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital, Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0157,M11,A,2,GPT-4o-mini,"Teaching hospital, Ebonyi State Nigeria",1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital, Ebonyi State Nigeria which has Normal saline, labetalol, amlodipine, vitamin e, efamol brain, citicholine, specialist","A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0158,M11,A,2,Claude-Sonnet,"Teaching hospital, Ebonyi State Nigeria",1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital, Ebonyi State Nigeria which has Normal saline, labetalol, amlodipine, vitamin e, efamol brain, citicholine, specialist","A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0159,M11,A,2,Gemini-Flash,"Teaching hospital, Ebonyi State Nigeria",1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital, Ebonyi State Nigeria which has Normal saline, labetalol, amlodipine, vitamin e, efamol brain, citicholine, specialist","A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0160,M11,A,2,LLaMA-3-70B,"Teaching hospital, Ebonyi State Nigeria",1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital, Ebonyi State Nigeria which has Normal saline, labetalol, amlodipine, vitamin e, efamol brain, citicholine, specialist","A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0161,M11,B,1,GPT-4o-mini,General hospital Ebonyi State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0162,M11,B,1,Claude-Sonnet,General hospital Ebonyi State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0163,M11,B,1,Gemini-Flash,General hospital Ebonyi State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0164,M11,B,1,LLaMA-3-70B,General hospital Ebonyi State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0165,M11,C,1,GPT-4o-mini,Primary healthcare centre Ebonyi State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0166,M11,C,1,Claude-Sonnet,Primary healthcare centre Ebonyi State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0167,M11,C,1,Gemini-Flash,Primary healthcare centre Ebonyi State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0168,M11,C,1,LLaMA-3-70B,Primary healthcare centre Ebonyi State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre Ebonyi State Nigeria.

A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0169,M11,C,2,GPT-4o-mini,Primary healthcare centre Ebonyi State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Primary healthcare centre Ebonyi State Nigeria which has Normal saline, lisinopril, amlodipine,","A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0170,M11,C,2,Claude-Sonnet,Primary healthcare centre Ebonyi State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Primary healthcare centre Ebonyi State Nigeria which has Normal saline, lisinopril, amlodipine,","A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0171,M11,C,2,Gemini-Flash,Primary healthcare centre Ebonyi State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Primary healthcare centre Ebonyi State Nigeria which has Normal saline, lisinopril, amlodipine,","A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0172,M11,C,2,LLaMA-3-70B,Primary healthcare centre Ebonyi State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Primary healthcare centre Ebonyi State Nigeria which has Normal saline, lisinopril, amlodipine,","A 75-year-old male presents on account of sudden onset left-sided weakness of the upper and lower limbs, following a brief transient loss of consciousness, of 12 hours duration. There was no preceding head trauma, fall, or seizure activity. No sudden severe headache, no vomiting, no visual change. Family reports he was found on the floor at home and was unable to get up. He is a known hypertensive for 20 years with uncertain drug adherence on amlodipine and lisinopril. He has a known history of atrial fibrillation diagnosed 3 years ago, not on anticoagulation. He has no history of diabetes mellitus or prior stroke. He is a non-smoker. On examination: An elderly male with impaired consciousness, lying still. Afebrile, not pale, not jaundiced, not dehydrated, no pedal edema.
HR 96 bpm irregular BP 190/100 mmHg RR 18/min SpO₂ 97% on room air 
GCS 8/15 (E1V3M4).Left upper limb power 1/5 on painful stimulation. Left lower limb power 1/5 on painful stimulation. Right-sided power - at least 3/5. Left plantar response: upgoing
HS 1+2, no murmurs. Chest clear."
P0173,M12,A,1,GPT-4o-mini,Teaching hospital Imo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Imo State Nigeria.

A 32-year-old female presents on account of vomiting and passage of loose stools of 2 days duration, with associated absent urination over the last 24 hours. Vomiting occurs approximately 10 times per day, is non - bilious, contains recently ingested food, and is non-bloody. Loose stools are brown, non-bloody, and have occurred approximately 9 times since symptom onset. Symptoms began approximately 6 hours after the ingestion of a locally prepared herbal mixture. There is associated generalised weakness and lethargy. She has had no fever, no abdominal pain, no dysuria, and no prior similar episodes. She has no significant past medical history and is not on any medications. On examination: A young adult female, acutely ill-looking. Afebrile, pale, not jaundiced, dehydrated, no pedal edema.
HR 104 bpm, regular BP 100/70 mmHg RR 18/min SpO₂ 98%
Abdomen flat, moves with respiration. Generalised mild tenderness on deep palpation. Liver not ballotable, spleen not ballotable, kidneys not ballotable. Bladder not percussible
HS 1+2, no murmurs."
P0174,M12,A,1,Claude-Sonnet,Teaching hospital Imo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Imo State Nigeria.

A 32-year-old female presents on account of vomiting and passage of loose stools of 2 days duration, with associated absent urination over the last 24 hours. Vomiting occurs approximately 10 times per day, is non - bilious, contains recently ingested food, and is non-bloody. Loose stools are brown, non-bloody, and have occurred approximately 9 times since symptom onset. Symptoms began approximately 6 hours after the ingestion of a locally prepared herbal mixture. There is associated generalised weakness and lethargy. She has had no fever, no abdominal pain, no dysuria, and no prior similar episodes. She has no significant past medical history and is not on any medications. On examination: A young adult female, acutely ill-looking. Afebrile, pale, not jaundiced, dehydrated, no pedal edema.
HR 104 bpm, regular BP 100/70 mmHg RR 18/min SpO₂ 98%
Abdomen flat, moves with respiration. Generalised mild tenderness on deep palpation. Liver not ballotable, spleen not ballotable, kidneys not ballotable. Bladder not percussible
HS 1+2, no murmurs."
P0175,M12,A,1,Gemini-Flash,Teaching hospital Imo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Imo State Nigeria.

A 32-year-old female presents on account of vomiting and passage of loose stools of 2 days duration, with associated absent urination over the last 24 hours. Vomiting occurs approximately 10 times per day, is non - bilious, contains recently ingested food, and is non-bloody. Loose stools are brown, non-bloody, and have occurred approximately 9 times since symptom onset. Symptoms began approximately 6 hours after the ingestion of a locally prepared herbal mixture. There is associated generalised weakness and lethargy. She has had no fever, no abdominal pain, no dysuria, and no prior similar episodes. She has no significant past medical history and is not on any medications. On examination: A young adult female, acutely ill-looking. Afebrile, pale, not jaundiced, dehydrated, no pedal edema.
HR 104 bpm, regular BP 100/70 mmHg RR 18/min SpO₂ 98%
Abdomen flat, moves with respiration. Generalised mild tenderness on deep palpation. Liver not ballotable, spleen not ballotable, kidneys not ballotable. Bladder not percussible
HS 1+2, no murmurs."
P0176,M12,A,1,LLaMA-3-70B,Teaching hospital Imo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Imo State Nigeria.

A 32-year-old female presents on account of vomiting and passage of loose stools of 2 days duration, with associated absent urination over the last 24 hours. Vomiting occurs approximately 10 times per day, is non - bilious, contains recently ingested food, and is non-bloody. Loose stools are brown, non-bloody, and have occurred approximately 9 times since symptom onset. Symptoms began approximately 6 hours after the ingestion of a locally prepared herbal mixture. There is associated generalised weakness and lethargy. She has had no fever, no abdominal pain, no dysuria, and no prior similar episodes. She has no significant past medical history and is not on any medications. On examination: A young adult female, acutely ill-looking. Afebrile, pale, not jaundiced, dehydrated, no pedal edema.
HR 104 bpm, regular BP 100/70 mmHg RR 18/min SpO₂ 98%
Abdomen flat, moves with respiration. Generalised mild tenderness on deep palpation. Liver not ballotable, spleen not ballotable, kidneys not ballotable. Bladder not percussible
HS 1+2, no murmurs."
